,Site,Bout,Date,Duration,SampRate,Stereo,BIO,ACI,NDSI,ADI,AEI,H,M
133,AR-2B,Bout_4,57I_0+1_20220329_154000.wav,300,24000,FALSE,47.15596822,8791.769177,0.886941838,2.392795,0.057465,0.891474561,1.33E-05
134,AR-2B,Bout_4,57I_0+1_20220329_164000.wav,300,24000,FALSE,56.58255984,8658.456789,0.88112645,2.355509,0.163378,0.892783491,1.68E-05
135,AR-2B,Bout_4,57I_0+1_20220329_174000.wav,300,24000,FALSE,39.9332834,8933.753096,0.659620118,2.392231,0.060559,0.889980733,1.14E-05
136,AR-2B,Bout_4,57I_0+1_20220329_184000.wav,300,24000,FALSE,40.87711729,9127.363429,0.890439165,1.968761,0.49601,0.858850171,1.50E-05
137,AR-2B,Bout_4,57I_0+1_20220329_194000.wav,300,24000,FALSE,49.70041532,8928.022034,0.933786503,2.26803,0.285555,0.851313567,1.88E-05
138,AR-2B,Bout_4,57I_0+1_20220330_041600.wav,300,24000,FALSE,22.741899,9020.445816,0.303577675,2.30349,0.230852,0.851625605,9.04E-06
139,AR-2B,Bout_4,57I_0+1_20220330_051600.wav,300,24000,FALSE,23.64509739,9047.726831,0.246134952,2.382236,0.097052,0.858513013,9.27E-06
140,AR-2B,Bout_4,57I_0+1_20220330_061600.wav,300,24000,FALSE,32.63049646,9160.851014,0.498260467,2.389178,0.073154,0.853155917,1.04E-05
141,AR-2B,Bout_4,57I_0+1_20220330_071600.wav,300,24000,FALSE,55.46250577,9543.284828,0.950572028,2.273026,0.270829,0.856184471,1.83E-05
142,AR-2B,Bout_4,57I_0+1_20220330_081600.wav,300,24000,FALSE,43.02138624,8852.373154,0.947563639,2.38311,0.096029,0.871090808,1.75E-05
143,AR-2B,Bout_4,57I_0+1_20220330_154000.wav,300,24000,FALSE,69.89359389,8754.895982,0.42517783,2.394535,0.039406,0.896287407,2.79E-05
144,AR-2B,Bout_4,57I_0+1_20220330_164000.wav,300,24000,FALSE,61.829954,8866.701836,0.43369687,2.392337,0.055992,0.894941162,2.14E-05
145,AR-2B,Bout_4,57I_0+1_20220330_174000.wav,300,24000,FALSE,55.83846043,8825.911186,0.20187854,2.394685,0.042858,0.882198935,1.87E-05
146,AR-2B,Bout_4,57I_0+1_20220330_184000.wav,300,24000,FALSE,43.82351542,9067.915345,0.760140541,2.384266,0.093527,0.870381483,1.51E-05
147,AR-2B,Bout_4,57I_0+1_20220330_194000.wav,300,24000,FALSE,39.33545349,8955.368798,0.989371674,2.36813,0.136332,0.826819592,2.43E-05
148,AR-2B,Bout_4,57I_0+1_20220331_041500.wav,300,24000,FALSE,40.92432362,8882.653886,0.937302945,2.382648,0.098893,0.855765835,1.50E-05
149,AR-2B,Bout_4,57I_0+1_20220331_051500.wav,300,24000,FALSE,37.91826484,8919.103242,0.91079296,2.162551,0.383884,0.851636755,1.42E-05
150,AR-2B,Bout_4,57I_0+1_20220331_061500.wav,300,24000,FALSE,44.22187999,8950.082144,0.92546397,2.10719,0.422442,0.852788173,1.54E-05
151,AR-2B,Bout_4,57I_0+1_20220331_071500.wav,300,24000,FALSE,39.90098749,9108.450196,0.906053649,2.384852,0.091587,0.847892295,1.72E-05
152,AR-2B,Bout_4,57I_0+1_20220331_081500.wav,300,24000,FALSE,60.53748578,9087.71102,0.391617121,2.394695,0.041,0.888198847,1.76E-05
